Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
Responden 400,4,3,3,2,4,4,4,1
Responden 401,4,3,2,3,5,2,4,1
Responden 402,5,3,4,2,2,3,5,5
Responden 403,3,2,3,3,5,2,3,3
Responden 404,5,5,3,3,5,2,4,1
Responden 405,2,1,2,3,5,1,3,2
Responden 406,4,3,3,2,4,2,3,4
Responden 407,4,3,3,2,2,4,4,4
Responden 408,2,3,4,4,3,3,2,2
Responden 409,5,4,5,1,4,1,5,4
Responden 410,4,3,3,2,4,4,4,1
Responden 411,4,3,2,4,5,5,5,4
Responden 412,4,5,4,3,1,5,2,2
Responden 413,4,2,4,2,3,5,2,3
Responden 414,1,3,2,4,4,3,2,4
Responden 415,2,3,2,4,2,4,3,2
Responden 416,4,3,2,4,2,5,3,4
Responden 417,4,3,3,1,4,4,3,4
Responden 418,5,5,4,3,5,4,3,1
Responden 419,4,3,3,4,4,4,3,4
Responden 420,4,3,3,4,4,2,4,4
Responden 421,4,3,3,1,1,5,4,2
Responden 422,4,4,3,3,5,4,4,2
Responden 423,4,4,4,3,5,4,5,4
Responden 424,3,2,2,3,5,2,4,1
Responden 425,4,1,2,4,5,1,5,3
Responden 426,3,2,2,3,5,2,4,1
Responden 427,4,3,3,3,5,3,3,4
Responden 428,4,3,3,2,4,3,4,3
Responden 429,4,3,3,2,4,3,5,4
Responden 430,5,4,4,3,2,4,4,4
Responden 431,5,2,3,2,4,3,4,4
Responden 432,3,4,5,2,5,4,4,4
Responden 433,5,5,5,4,4,2,4,3
Responden 434,5,4,4,2,3,4,4,4
Responden 435,4,3,3,2,4,1,3,4
Responden 436,4,3,3,2,2,4,4,4
Responden 437,4,2,2,4,4,2,4,3
Responden 438,4,4,4,3,5,4,4,4
Responden 439,3,3,1,1,4,2,5,4
Responden 440,4,4,4,3,3,4,4,2
Responden 441,1,1,1,4,5,1,5,2
Responden 442,4,3,3,2,3,3,4,3
Responden 443,4,1,1,2,4,1,5,4
Responden 444,4,3,3,2,3,3,4,3
Responden 445,4,3,2,3,5,2,4,1
Responden 446,4,3,3,2,4,3,3,4
Responden 447,4,2,2,2,5,1,3,3
Responden 448,5,4,5,2,4,2,2,4
Responden 449,5,3,4,3,3,3,3,2
Responden 450,5,4,5,2,4,2,2,4
Responden 451,4,2,2,1,5,2,3,3
Responden 452,4,3,3,4,2,2,5,4
Responden 453,5,4,5,1,4,1,5,4
Responden 454,4,4,3,4,4,2,4,2
Responden 455,4,4,4,1,3,3,3,5
Responden 456,4,3,3,4,4,2,4,2
Responden 457,4,2,1,2,5,1,5,4
Responden 458,4,2,2,3,2,4,2,4
Responden 459,4,3,3,5,5,2,3,4
Responden 460,4,3,4,2,3,3,4,2
Responden 461,4,3,3,3,4,3,4,3
Responden 462,5,2,3,1,5,4,5,4
Responden 463,4,4,3,2,3,3,3,2
Responden 464,5,3,4,2,2,3,5,5
Responden 465,4,4,4,3,5,4,4,4
Responden 466,4,4,4,3,3,4,4,2
Responden 467,4,3,3,2,3,3,4,3
Responden 468,4,3,3,2,3,3,4,3
Responden 469,4,3,3,2,4,3,3,4
Responden 470,5,4,5,2,4,2,2,4
Responden 471,5,4,5,2,4,2,2,4
Responden 472,5,2,3,5,4,4,3,5
Responden 473,4,4,4,2,1,3,4,2
Responden 474,4,4,3,4,4,2,4,2
Responden 475,4,4,3,2,4,4,4,4
Responden 476,5,4,5,2,4,2,2,4
Responden 477,4,3,4,3,5,3,4,1
Responden 478,5,4,5,2,4,2,2,4
Responden 479,3,5,4,2,3,3,2,1
Responden 480,4,2,2,1,5,2,3,3
Responden 481,3,2,2,2,4,4,4,2
Responden 482,4,4,4,2,1,3,4,2
Responden 483,2,3,2,4,5,2,3,2
Responden 484,4,4,3,4,4,2,4,2
Responden 485,2,2,3,2,5,3,3,1
Responden 486,4,2,2,3,2,4,2,4
Responden 487,4,3,4,2,3,3,4,2
Responden 488,5,2,3,1,5,4,5,4
Responden 489,4,2,2,4,4,2,4,2
Responden 490,4,4,3,4,2,2,4,1
Responden 491,4,3,2,4,4,2,4,3
Responden 492,3,2,4,2,4,2,3,4
Responden 493,4,4,3,4,5,2,4,4
Responden 494,5,2,3,1,5,4,5,4
Responden 495,4,4,4,2,1,3,4,2
Responden 496,4,3,3,4,2,2,5,4
Responden 497,5,3,4,2,2,3,5,5
Responden 498,3,2,3,3,5,2,3,3
Responden 499,4,4,3,3,4,3,4,2
Responden 500,4,3,3,2,5,3,3,4
Responden 501,5,4,3,1,5,1,5,4
